Date,Currency,Mean,Buy,Sell
20/01/2015,KES / BIF,17.141,16.8551,17.4269
20/01/2015,AE DIRHAM,24.9369,24.9176,24.9561
20/01/2015,CAN $,76.504,76.4301,76.578
20/01/2015,S FRANC,104.3098,104.207,104.4127
20/01/2015,JPY (100),77.3961,77.3211,77.4712
20/01/2015,SW KRONER,11.2476,11.2354,11.2597
20/01/2015,NOR KRONER,11.985,11.9749,11.9952
20/01/2015,DAN KRONER,14.27,14.2587,14.2814
20/01/2015,IND RUPEE,1.4803,1.4791,1.4816
20/01/2015,HONGKONG DOLLAR,11.8148,11.8059,11.8238
20/01/2015,SINGAPORE DOLLAR,68.3388,68.2615,68.4161
20/01/2015,SAUDI RIYAL,24.3901,24.3683,24.4118
20/01/2015,CHINESE YUAN,14.7359,14.7239,14.7479
20/01/2015,AUSTRALIAN $,74.906,74.8217,74.9902
21/01/2015,US DOLLAR,91.6342,91.5578,91.7106
21/01/2015,STG POUND,138.9467,138.8261,139.0672
21/01/2015,EURO,106.1136,106.0178,106.2094
21/01/2015,SA RAND,7.9073,7.8984,7.9163
21/01/2015,KES / USHS,31.6477,31.5667,31.7286
21/01/2015,KES / TSHS,19.6434,19.5724,19.7143
21/01/2015,KES / RWF,7.4645,7.4146,7.5144
21/01/2015,KES / BIF,17.0167,16.8934,17.14
21/01/2015,AE DIRHAM,24.9477,24.9259,24.9695
21/01/2015,CAN $,75.8624,75.7803,75.9445
21/01/2015,S FRANC,105.0369,104.9373,105.1365
21/01/2015,JPY (100),77.7813,77.7099,77.8528
21/01/2015,SW KRONER,11.2207,11.208,11.2335
21/01/2015,NOR KRONER,11.9572,11.9449,11.9695
21/01/2015,DAN KRONER,14.2746,14.2604,14.2887
21/01/2015,IND RUPEE,1.4868,1.4855,1.4882
21/01/2015,HONGKONG DOLLAR,11.8198,11.8099,11.8297
21/01/2015,SINGAPORE DOLLAR,68.5448,68.4851,68.6045
21/01/2015,SAUDI RIYAL,24.4,24.3771,24.4229
21/01/2015,CHINESE YUAN,14.7417,14.7284,14.7549
21/01/2015,AUSTRALIAN $,75.2866,75.2056,75.3677
22/01/2015,US DOLLAR,91.7367,91.6644,91.8089
22/01/2015,STG POUND,138.7956,138.6689,138.9222
22/01/2015,EURO,106.3325,106.2383,106.4267
22/01/2015,SA RAND,7.9598,7.9509,7.9686
22/01/2015,KES / USHS,31.6668,31.5874,31.7462
22/01/2015,KES / TSHS,19.7849,19.7149,19.855
22/01/2015,KES / RWF,7.5107,7.4612,7.5602
22/01/2015,KES / BIF,17.1144,16.8284,17.4004
22/01/2015,AE DIRHAM,24.9756,24.9556,24.9956
22/01/2015,CAN $,74.1456,74.0843,74.207
22/01/2015,S FRANC,106.801,106.6858,106.9161
22/01/2015,JPY (100),77.5688,77.4913,77.6462
22/01/2015,SW KRONER,11.2085,11.1963,11.2207
22/01/2015,NOR KRONER,12.0666,12.0548,12.0785
22/01/2015,DAN KRONER,14.2964,14.2837,14.3091
22/01/2015,IND RUPEE,1.4878,1.4866,1.4891
22/01/2015,HONGKONG DOLLAR,11.8324,11.8231,11.8417
22/01/2015,SINGAPORE DOLLAR,68.7604,68.6831,68.8377
22/01/2015,SAUDI RIYAL,24.4273,24.4048,24.4498
22/01/2015,CHINESE YUAN,14.7694,14.757,14.7819
22/01/2015,AUSTRALIAN $,74.0132,73.9365,74.0898
23/01/2015,US DOLLAR,91.7364,91.6656,91.8072
23/01/2015,STG POUND,137.4906,137.36,137.6211
23/01/2015,EURO,103.8514,103.7656,103.9372
23/01/2015,SA RAND,8.0365,8.0275,8.0455
23/01/2015,KES / USHS,31.2854,31.2067,31.364
23/01/2015,KES / TSHS,19.9485,19.8786,20.0184
23/01/2015,KES / RWF,7.5107,7.4613,7.5601
23/01/2015,KES / BIF,17.1145,16.8287,17.4002
23/01/2015,AE DIRHAM,24.9752,24.9552,24.9952
23/01/2015,CAN $,73.9631,73.8881,74.0381
23/01/2015,S FRANC,105.1902,105.0969,105.2835
23/01/2015,JPY (100),77.4474,77.3745,77.5202
23/01/2015,SW KRONER,11.1074,11.1003,11.1144
23/01/2015,NOR KRONER,11.9701,11.9569,11.9832
23/01/2015,DAN KRONER,13.9502,13.9383,13.962
23/01/2015,IND RUPEE,1.4918,1.4905,1.493
23/01/2015,HONGKONG DOLLAR,11.8331,11.824,11.8423
23/01/2015,SINGAPORE DOLLAR,68.4805,68.402,68.5589
23/01/2015,SAUDI RIYAL,24.4191,24.3986,24.4396
23/01/2015,CHINESE YUAN,14.7306,14.7183,14.7429
23/01/2015,AUSTRALIAN $,73.169,73.0849,73.253
26/01/2015,US DOLLAR,91.7472,91.6806,91.8139
26/01/2015,STG POUND,137.7183,137.5961,137.8406
26/01/2015,EURO,102.6939,102.61,102.7778
26/01/2015,SA RAND,8.0385,8.0291,8.0478
26/01/2015,KES / USHS,31.0637,30.9866,31.1407
26/01/2015,KES / TSHS,19.8917,19.8227,19.9606
26/01/2015,KES / RWF,7.5098,7.4607,7.5589
26/01/2015,KES / BIF,17.1123,16.9909,17.2338
26/01/2015,AE DIRHAM,24.9785,24.96,24.997
26/01/2015,CAN $,73.7044,73.6331,73.7757
26/01/2015,S FRANC,104.3175,104.218,104.417
26/01/2015,JPY (100),77.8376,77.7745,77.9008
26/01/2015,SW KRONER,11.0128,11.0038,11.0218
26/01/2015,NOR KRONER,11.7874,11.7766,11.7982
26/01/2015,DAN KRONER,13.8032,13.7911,13.8153
26/01/2015,IND RUPEE,1.4933,1.492,1.4946
26/01/2015,HONGKONG DOLLAR,11.835,11.8264,11.8436
26/01/2015,SINGAPORE DOLLAR,68.1984,68.1235,68.2733
26/01/2015,SAUDI RIYAL,24.4236,24.3993,24.4478
26/01/2015,CHINESE YUAN,14.6718,14.66,14.6836
26/01/2015,AUSTRALIAN $,72.2831,72.1984,72.3677
27/01/2015,US DOLLAR,91.6867,91.6172,91.7561
27/01/2015,STG POUND,138.5469,138.4283,138.6656
27/01/2015,EURO,103.1175,103.0389,103.1961
27/01/2015,SA RAND,8.0044,7.9956,8.0133
27/01/2015,KES / USHS,31.1933,31.1151,31.2714
27/01/2015,KES / TSHS,19.8939,19.8243,19.9635
27/01/2015,KES / RWF,7.5148,7.4654,7.5641
27/01/2015,KES / BIF,17.1238,16.8381,17.4094
27/01/2015,AE DIRHAM,24.962,24.9428,24.9812
27/01/2015,CAN $,73.4846,73.4112,73.5579
27/01/2015,S FRANC,101.4907,101.3913,101.59
27/01/2015,JPY (100),77.5855,77.5103,77.6607
27/01/2015,SW KRONER,11.0427,11.0324,11.0531
27/01/2015,NOR KRONER,11.7684,11.7573,11.7796
27/01/2015,DAN KRONER,13.8362,13.8236,13.8487
27/01/2015,IND RUPEE,1.4925,1.4912,1.4937
27/01/2015,HONGKONG DOLLAR,11.8275,11.8185,11.8364
27/01/2015,SINGAPORE DOLLAR,68.2193,68.1625,68.276
27/01/2015,SAUDI RIYAL,24.388,24.363,24.413
27/01/2015,CHINESE YUAN,14.6647,14.6501,14.6793
27/01/2015,AUSTRALIAN $,72.7855,72.7166,72.8544
28/01/2015,US DOLLAR,91.6694,91.6,91.7389
28/01/2015,STG POUND,139.0386,138.9244,139.1528
28/01/2015,EURO,104.1408,104.0639,104.2178
28/01/2015,SA RAND,7.9188,7.9102,7.9273
28/01/2015,KES / USHS,31.1446,31.0664,31.2227
28/01/2015,KES / TSHS,19.8867,19.8171,19.9563
28/01/2015,KES / RWF,7.5162,7.4668,7.5655
28/01/2015,KES / BIF,17.0592,16.9372,17.1812
28/01/2015,AE DIRHAM,24.9573,24.9381,24.9766
28/01/2015,CAN $,73.7693,73.6986,73.8401
28/01/2015,S FRANC,101.2475,101.1372,101.3577
28/01/2015,JPY (100),77.7453,77.6732,77.8174
28/01/2015,SW KRONER,11.1952,11.1846,11.2057
28/01/2015,NOR KRONER,11.8192,11.8064,11.8319
28/01/2015,DAN KRONER,14.0007,13.9879,14.0134
28/01/2015,IND RUPEE,1.4924,1.4911,1.4936
28/01/2015,HONGKONG DOLLAR,11.825,11.816,11.8339
28/01/2015,SINGAPORE DOLLAR,67.843,67.7665,67.9195
28/01/2015,SAUDI RIYAL,24.3899,24.3682,24.4116
28/01/2015,CHINESE YUAN,14.6789,14.6661,14.6916
28/01/2015,AUSTRALIAN $,73.4089,73.335,73.4828
29/01/2015,US DOLLAR,91.5533,91.4839,91.6228
29/01/2015,STG POUND,138.7536,138.6428,138.8644
29/01/2015,EURO,103.4286,103.3422,103.515
29/01/2015,SA RAND,7.8857,7.877,7.8944
29/01/2015,KES / USHS,31.2605,31.1822,31.3389
29/01/2015,KES / TSHS,19.5843,19.5148,19.6537
29/01/2015,KES / RWF,7.5148,7.4654,7.5642
29/01/2015,KES / BIF,16.988,16.8659,17.1101
29/01/2015,AE DIRHAM,24.9257,24.9065,24.9449
29/01/2015,CAN $,73.0557,72.9828,73.1286
29/01/2015,S FRANC,100.6744,100.587,100.7619
29/01/2015,JPY (100),77.7952,77.7329,77.8576
29/01/2015,SW KRONER,11.0412,11.0288,11.0535
29/01/2015,NOR KRONER,11.6815,11.6689,11.694
29/01/2015,DAN KRONER,13.8732,13.8606,13.8858
29/01/2015,IND RUPEE,1.4888,1.4875,1.49
29/01/2015,HONGKONG DOLLAR,11.8114,11.8024,11.8203
29/01/2015,SINGAPORE DOLLAR,67.747,67.6756,67.8185
29/01/2015,SAUDI RIYAL,24.3542,24.3308,24.3775
29/01/2015,CHINESE YUAN,14.6513,14.6391,14.6636
29/01/2015,AUSTRALIAN $,72.0388,71.9612,72.1163
30/01/2015,US DOLLAR,91.6736,91.6028,91.7444
30/01/2015,STG POUND,138.4208,138.3,138.5417
30/01/2015,EURO,103.9006,103.8117,103.9894
30/01/2015,SA RAND,7.9471,7.9378,7.9563
30/01/2015,KES / USHS,31.1977,31.1191,31.2763
30/01/2015,KES / TSHS,19.4604,19.3908,19.53
30/01/2015,KES / RWF,7.5158,7.4664,7.5653
30/01/2015,KES / BIF,17.1262,16.8403,17.4121
30/01/2015,AE DIRHAM,24.9584,24.9388,24.9781
30/01/2015,CAN $,72.6761,72.6084,72.7438
30/01/2015,S FRANC,99.5425,99.3954,99.6897
30/01/2015,JPY (100),77.7884,77.7217,77.8551
30/01/2015,SW KRONER,11.0931,11.0819,11.1044
30/01/2015,NOR KRONER,11.7132,11.7004,11.726
30/01/2015,DAN KRONER,13.9663,13.9534,13.9793
30/01/2015,IND RUPEE,1.4854,1.4842,1.4867
30/01/2015,HONGKONG DOLLAR,11.8261,11.817,11.8352
30/01/2015,SINGAPORE DOLLAR,67.8587,67.7786,67.9387
30/01/2015,SAUDI RIYAL,24.3959,24.3754,24.4164
30/01/2015,CHINESE YUAN,14.6664,14.6539,14.6789
30/01/2015,AUSTRALIAN $,71.4229,71.3494,71.4964
02/02/2015,US DOLLAR,91.6944,91.6278,91.7611
02/02/2015,STG POUND,138.2303,138.1044,138.3561
02/02/2015,EURO,103.5903,103.4894,103.6911
02/02/2015,SA RAND,7.885,7.8765,7.8934
02/02/2015,KES / USHS,31.2451,31.1679,31.3224
02/02/2015,KES / TSHS,19.2488,19.1802,19.3173
02/02/2015,KES / RWF,7.5032,7.4541,7.5523
02/02/2015,KES / BIF,17.0132,16.7282,17.2982
02/02/2015,AE DIRHAM,24.9648,24.9463,24.9833
02/02/2015,CAN $,71.9793,71.91,72.0486
02/02/2015,S FRANC,98.9527,98.8327,99.0727
02/02/2015,JPY (100),77.9417,77.8684,78.0149
02/02/2015,SW KRONER,11.0802,11.0675,11.093
02/02/2015,NOR KRONER,11.8675,11.8535,11.8815
02/02/2015,DAN KRONER,13.9114,13.9003,13.9226
02/02/2015,IND RUPEE,1.4829,1.4817,1.4841
02/02/2015,HONGKONG DOLLAR,11.8253,11.8167,11.8339
02/02/2015,SINGAPORE DOLLAR,67.7087,67.637,67.7804
02/02/2015,SAUDI RIYAL,24.3868,24.3594,24.4143
02/02/2015,CHINESE YUAN,14.6486,14.6356,14.6616
02/02/2015,AUSTRALIAN $,71.3612,71.2956,71.4268
03/02/2015,US DOLLAR,91.6683,91.5989,91.7378
03/02/2015,STG POUND,137.7058,137.58,137.8317
03/02/2015,EURO,103.8161,103.7289,103.9033
03/02/2015,SA RAND,7.9534,7.9444,7.9623
03/02/2015,KES / USHS,31.1777,31.0995,31.2558
